################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.8279963195491702E-01 a         1     0     1     1     1
  6.9560200832747360E-02 a         2     0     1     1     2
 -4.3563370026841286E-01 a         3     0     1     1     3
  2.1246542706005808E-01 a         4     0     1     1     4
 -3.9897605798019958E-01 a         5     0     1     1     5
 -6.1458130043504899E-01 a         6     0     1     1     6
  1.8172772487341726E-01 a         7     0     1     1     7
  5.2583821493425630E-02 a         8     0     1     1     8
 -2.3712234907429497E-01 a         9     0     1     1     9
 -4.9962941190125471E-01 a        10     0     1     1    10
 -1.0721117514317820E-01 a        11     0     1     1    11
  4.5708148127396320E-02 a        12     0     1     1    12
 -4.7287760327881784E-01 a        13     0     1     1    13
 -3.8079393956517599E-01 a        14     0     1     1    14
 -9.1610163687042279E-02 a        15     0     1     1    15
 -1.1264326800188236E-01 a        16     0     1     1    16
 -2.6698206411122183E-01 a        17     0     1     1    17
 -6.5816365532223453E-01 a        18     0     1     1    18
  3.6863518288746205E-01 a        19     0     1     1    19
  4.8115674666715358E-01 a        20     0     1     1    20
 -5.1586177411847983E-03 a        21     0     2     1     1
  1.4345142623583007E-01 a        22     0     2     1     2
 -4.4499600042949054E-02 a        23     0     2     1     3
 -7.2001206783970442E-02 a        24     0     2     1     4
 -1.8591494453076574E-01 a        25     0     2     1     5
  1.3281828875988272E-01 a        26     0     2     1     6
  3.8224685214095895E-02 a        27     0     2     1     7
  2.1809361809973224E-01 a        28     0     2     1     8
 -2.6844203126682221E-02 a        29     0     2     1     9
 -6.9853217769913256E-01 a        30     0     2     1    10
  8.3121165954078965E-02 a        31     0     2     1    11
  6.3903226214025199E-01 a        32     0     2     1    12
 -2.7043949956342411E-01 a        33     0     2     1    13
 -2.1413646556589144E-01 a        34     0     2     1    14
 -2.3129883265516255E-01 a        35     0     2     1    15
  4.5276411998482968E-01 a        36     0     2     1    16
  2.8030459014782588E-01 a        37     0     2     1    17
 -4.9792788371755864E-01 a        38     0     2     1    18
  3.8324218601685534E-01 a        39     0     2     1    19
  9.0538329128484057E-02 a        40     0     2     1    20
 -6.2629391776483093E-02 a        41     0     3     1     1
  1.0095697680568205E-02 a        42     0     3     1     2
  1.9783098195983398E-01 a        43     0     3     1     3
  2.0604330872888757E-01 a        44     0     3     1     4
 -1.6081293045642339E-01 a        45     0     3     1     5
 -4.0799597149329636E-01 a        46     0     3     1     6
 -2.5916456834697293E-01 a        47     0     3     1     7
  3.1547277871391283E-01 a        48     0     3     1     8
 -1.3470274249932973E-01 a        49     0     3     1     9
 -2.4136971817925981E-01 a        50     0     3     1    10
  1.5095958035638629E-01 a        51     0     3     1    11
 -1.0439963994558195E-01 a        52     0     3     1    12
 -2.4983702241279240E-01 a        53     0     3     1    13
  4.4382998161922110E-01 a        54     0     3     1    14
 -2.4696368233328678E-01 a        55     0     3     1    15
  8.7640696882648597E-02 a        56     0     3     1    16
  3.1736279970345516E-01 a        57     0     3     1    17
  2.8282635772438097E-01 a        58     0     3     1    18
  3.3618134604168526E-01 a        59     0     3     1    19
 -4.2211490661265810E-01 a        60     0     3     1    20
  1.4466890220026876E-01 a        61     0     4     1     1
  1.0719759658530364E-01 a        62     0     4     1     2
 -2.7350207905528348E-02 a        63     0     4     1     3
