################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0358645842532813E-02   2.1930613812212996E-01   1.2336936135900566E-01   1.2127527805789590E-02
         1          2   3.8033584803114522E-02   2.1224418816139687E-01   1.1943537438809317E-01   1.1873862605681944E-02
         1          3   3.3335454613013259E-02   1.9736063998659156E-01   1.1117521991088183E-01   1.1399916289959875E-02
         1          4   2.7354227983611503E-02   1.7715221119931901E-01   9.9924382592982905E-02   1.0851895653240559E-02
         1          5   3.3976600684350365E-03   5.8944839967330458E-02   2.2607472591725426E-02   3.8487235514799013E-03
         1          6   1.5115587190682426E-02   1.5080642558217686E-01   7.2884967353129396E-02   9.6729880145726456E-03
         1          7   2.8426490652274218E-04   1.7616806640585802E-02   4.2407699714138809E-03   1.0945423249409205E-03
         1          8   1.8855197103169671E-06   1.5735841661898180E-03   1.5418911859543929E-04   6.8489933631140119E-05
         1          9   5.0565546830039484E-02   7.7695692159318974E-01   2.1151619398950261E-01   7.5274300351005713E-02
         1         10   4.4046602699219208E-02   7.1014348800192406E-01   1.8898981468653503E-01   6.7131581900065754E-02
         1         11   3.2536652806271521E-02   5.8413963149153847E-01   1.4818754647998050E-01   5.2421651196012241E-02
         1         12   2.0496640856004257E-02   4.4027634325282988E-01   1.0459756498500626E-01   3.6854073742056383E-02
         1         13   6.4553885491769086E-04   8.4096529024456065E-02   7.2012294096731313E-03   3.0394194738755493E-03
         1         14   5.1362886002070231E-03   2.3476434973999735E-01   4.0327839970553968E-02   1.4782098024109454E-02
         1         15   7.2247397233213938E-06   2.3186233277804717E-02   3.6424088415352030E-04   3.5580776722202401E-04
         1         16   2.8655329382224037E-01   5.0074126520971731E+00   2.4271528327528511E+00   7.1649233982449612E-01
         1         17   3.5699082862581144E-01   2.5826422906818967E+00   1.4186529643949155E+00   3.6022603002151471E-01
         1         18   2.4253583906212917E-01   3.9907804765478092E+00   1.8081484987400582E+00   5.3809729663696171E-01
         1         19   3.3542904629093495E-01   2.0814450049066862E+00   1.1074547389043621E+00   2.7132048048869190E-01
         1         20   1.8503709795923420E-01   2.6088859004940410E+00   1.0448802810281239E+00   3.1909310677933106E-01
         1         21   2.8986050983056133E-01   1.4144999825871669E+00   7.2301123210553586E-01   1.6179184551444697E-01
         1         22   1.2998738560021622E-01   1.5736154136171778E+00   5.4816501516591654E-01   1.7348591621415785E-01
         1         23   2.2987495627694027E-01   9.2842249146680289E-01   4.7081944908478873E-01   8.9471106058971975E-02
         1         24   3.7582706215799405E-03   1.1938996442820581E-01   2.1669326974358322E-02   7.5451359229219981E-03
         1         25   2.6264315854344893E-02   1.1570146356026451E-01   6.7519807040671245E-02   6.9663494138653336E-03
         1         26   3.0755163107595053E-02   5.3495364499334142E-01   1.3864978736395600E-01   4.6384402595412877E-02
         1         27   1.2019388793373817E-01   4.2729565445914225E-01   2.3988517421882044E-01   2.9205959136251465E-02
         1         28   4.3577975936225564E-05   3.0730263743930054E-02   9.1081745393109819E-04   5.9381274452020003E-04
         1         29   2.0117247747006399E-03   3.2072765374445762E-02   1.1711146031553692E-02   1.9985618379553772E-03
         1         30   1.3853473119628652E-05   2.8637243729033790E-03   4.1408244589076785E-04   1.4609779982792365E-04
         1         31   1.0595545270776195E-04   1.1752092314440290E-02   1.2437717926096839E-03   5.6091915674984325E-04
         1         32   1.3652191108265146E-03   3.2292004001994175E-02   9.3826651782245498E-03   2.3254366912241458E-03
         1         33   5.0696469656585602E-06   8.0661612684419428E-03   2.1647975983893667E-04   2.3632844928328669E-04
         1         34   1.1463939088148362E-03   2.8278131902061319E-02   8.3553731454538045E-03   2.0199678980573569E-03
