################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.5471024386479147E-01 a         1     0     1     1     1
 -2.3990673761041714E-01 a         2     0     1     1     2
  4.6523895005881699E-01 a         3     0     1     1     3
  5.2546379785707420E-02 a         4     0     1     1     4
  7.7653438548711040E-01 a         5     0     1     1     5
  7.0287895630023245E-01 a         6     0     1     1     6
 -2.0915013315039918E-01 a         7     0     1     1     7
 -1.0917185067964087E-01 a         8     0     1     1     8
 -6.7408640288952659E-01 a         9     0     1     1     9
 -7.5253082003080629E-01 a        10     0     1     1    10
 -3.3534577808665772E-01 a        11     0     1     1    11
 -1.8663166291838768E-01 a        12     0     1     1    12
  4.2230155694715016E-01 a        13     0     1     1    13
 -5.1782154076195996E-01 a        14     0     1     1    14
  5.4774645860795668E-02 a        15     0     1     1    15
 -4.3483873882659829E-01 a        16     0     1     1    16
 -3.9463892645499227E-01 a        17     0     1     1    17
 -6.1466888095709482E-01 a        18     0     1     1    18
  4.0032690586055675E-01 a        19     0     1     1    19
 -4.4544203189544884E-02 a        20     0     1     1    20
 -1.7035384023647890E-01 a        21     0     2     1     1
 -5.6558899629497464E-02 a        22     0     2     1     2
  2.0379248766771485E-01 a        23     0     2     1     3
  3.4218699194216817E-01 a        24     0     2     1     4
  3.6008509966646657E-01 a        25     0     2     1     5
  7.0786179122203952E-01 a        26     0     2     1     6
 -1.5995310020979922E-01 a        27     0     2     1     7
  8.8346603340794402E-02 a        28     0     2     1     8
 -2.4308017490725514E-01 a        29     0     2     1     9
 -2.5859363596317714E-01 a        30     0     2     1    10
 -2.6947194076511627E-01 a        31     0     2     1    11
  1.1928401983282435E-02 a        32     0     2     1    12
  2.7138664555516480E-02 a        33     0     2     1    13
 -1.8705196474083807E-01 a        34     0     2     1    14
 -9.8279128154569809E-03 a        35     0     2     1    15
 -4.2370951802172396E-01 a        36     0     2     1    16
  1.5989251760693476E-02 a        37     0     2     1    17
 -4.4670972265758224E-01 a        38     0     2     1    18
 -1.5652252625189936E-01 a        39     0     2     1    19
 -1.1250322832774472E-01 a        40     0     2     1    20
  2.2141547528894437E-01 a        41     0     3     1     1
  8.4385439529996845E-02 a        42     0     3     1     2
  2.9094258897464181E-01 a        43     0     3     1     3
  8.3154204824795352E-02 a        44     0     3     1     4
  1.9873881540158433E-01 a        45     0     3     1     5
  6.3931075341241539E-02 a        46     0     3     1     6
  2.2273077676677602E-02 a        47     0     3     1     7
